,Day,TripCount
0,2014-01-01,420810
1,2014-01-10,507732
2,2014-01-11,511172
3,2014-01-12,450487
4,2014-01-13,419698
5,2014-01-14,454108
6,2014-01-15,466443
7,2014-01-16,482037
8,2014-01-17,490852
9,2014-01-18,507033
10,2014-01-19,462238
11,2014-01-02,359958
12,2014-01-20,378450
13,2014-01-21,255518
14,2014-01-22,377773
15,2014-01-23,462469
16,2014-01-24,509509
17,2014-01-25,530551
18,2014-01-26,457026
19,2014-01-27,418863
20,2014-01-28,468729
21,2014-01-29,477984
22,2014-01-03,275470
23,2014-01-30,495971
24,2014-01-31,526748
25,2014-01-04,417499
26,2014-01-05,388542
27,2014-01-06,395445
28,2014-01-07,460052
29,2014-01-08,473611
30,2014-01-09,479714
31,2014-02-01,533783
32,2014-02-10,435911
33,2014-02-11,489373
34,2014-02-12,481968
35,2014-02-13,326187
36,2014-02-14,472229
37,2014-02-15,491375
38,2014-02-16,457332
39,2014-02-17,391723
40,2014-02-18,419655
41,2014-02-19,446126
42,2014-02-02,464225
43,2014-02-20,466020
44,2014-02-21,503515
45,2014-02-22,522080
46,2014-02-23,442458
47,2014-02-24,439480
48,2014-02-25,472383
49,2014-02-26,492982
50,2014-02-27,512342
51,2014-02-28,544363
52,2014-02-03,382517
53,2014-02-04,454444
54,2014-02-05,413853
55,2014-02-06,478790
56,2014-02-07,512218
57,2014-02-08,549967
58,2014-02-09,466492
59,2014-03-01,554906
60,2014-03-10,442200
61,2014-03-11,456983
62,2014-03-12,483326
63,2014-03-13,549191
64,2014-03-14,539176
65,2014-03-15,547916
66,2014-03-16,485008
67,2014-03-17,433321
68,2014-03-18,469975
69,2014-03-19,489567
70,2014-03-02,462065
71,2014-03-20,500070
72,2014-03-21,516535
73,2014-03-22,534441
74,2014-03-23,480744
75,2014-03-24,443322
76,2014-03-25,461531
77,2014-03-26,502757
78,2014-03-27,507907
79,2014-03-28,522404
80,2014-03-29,574530
81,2014-03-03,463982
82,2014-03-30,462771
83,2014-03-31,432430
84,2014-03-04,499349
85,2014-03-05,508381
86,2014-03-06,531137
87,2014-03-07,547177
88,2014-03-08,551574
89,2014-03-09,473451
90,2014-04-01,462503
91,2014-04-10,498870
92,2014-04-11,506025
93,2014-04-12,540202
94,2014-04-13,472041
95,2014-04-14,419268
96,2014-04-15,481424
97,2014-04-16,495438
98,2014-04-17,508415
99,2014-04-18,514893
100,2014-04-19,483916
101,2014-04-02,483841
102,2014-04-20,429066
103,2014-04-21,421347
104,2014-04-22,463407
105,2014-04-23,501335
106,2014-04-24,505056
107,2014-04-25,526282
108,2014-04-26,540090
109,2014-04-27,473210
110,2014-04-28,436246
111,2014-04-29,483147
112,2014-04-03,499912
113,2014-04-30,497569
114,2014-04-04,544519
115,2014-04-05,543175
116,2014-04-06,475267
117,2014-04-07,460614
118,2014-04-08,467018
119,2014-04-09,484663
120,2014-05-01,492691
121,2014-05-10,527537
122,2014-05-11,454120
123,2014-05-12,437492
124,2014-05-13,473044
125,2014-05-14,466666
126,2014-05-15,495003
127,2014-05-16,515834
128,2014-05-17,506831
129,2014-05-18,473932
130,2014-05-19,452923
131,2014-05-02,516985
132,2014-05-20,472199
133,2014-05-21,483979
134,2014-05-22,489262
135,2014-05-23,495859
136,2014-05-24,413311
137,2014-05-25,378073
138,2014-05-26,336173
139,2014-05-27,432969
140,2014-05-28,472420
141,2014-05-29,489739
142,2014-05-03,544063
143,2014-05-30,503977
144,2014-05-31,511991
145,2014-05-04,475789
146,2014-05-05,461342
147,2014-05-06,483245
148,2014-05-07,484552
149,2014-05-08,508104
150,2014-05-09,523936
151,2014-06-01,435163
152,2014-06-10,463614
153,2014-06-11,477219
154,2014-06-12,498857
155,2014-06-13,496516
156,2014-06-14,487611
157,2014-06-15,414417
158,2014-06-16,423175
159,2014-06-17,449368
160,2014-06-18,472667
161,2014-06-19,487104
162,2014-06-02,428122
163,2014-06-20,485548
164,2014-06-21,473409
165,2014-06-22,430757
166,2014-06-23,413205
167,2014-06-24,441878
168,2014-06-25,468089
169,2014-06-26,486884
170,2014-06-27,474158
171,2014-06-28,472015
172,2014-06-29,402696
173,2014-06-03,462670
174,2014-06-30,409501
175,2014-06-04,482348
176,2014-06-05,501694
177,2014-06-06,495170
178,2014-06-07,504156
179,2014-06-08,434856
180,2014-06-09,440162
181,2014-10-01,458010
182,2014-10-10,489982
183,2014-10-11,509530
184,2014-10-12,437673
185,2014-10-13,389171
186,2014-10-14,431529
187,2014-10-15,456636
188,2014-10-16,481635
189,2014-10-17,492494
190,2014-10-18,513702
191,2014-10-19,461858
192,2014-10-02,467301
193,2014-10-20,416422
194,2014-10-21,445571
195,2014-10-22,461722
196,2014-10-23,471818
197,2014-10-24,492064
198,2014-10-25,500873
199,2014-10-26,441193
200,2014-10-27,411856
201,2014-10-28,434802
202,2014-10-29,454041
203,2014-10-03,485297
204,2014-10-30,469494
205,2014-10-31,494320
206,2014-10-04,467371
207,2014-10-05,416216
208,2014-10-06,409584
209,2014-10-07,436891
210,2014-10-08,456070
211,2014-10-09,477361
212,2014-11-01,561404
213,2014-11-10,407197
214,2014-11-11,402435
215,2014-11-12,444745
216,2014-11-13,464077
217,2014-11-14,491482
218,2014-11-15,508043
219,2014-11-16,442084
220,2014-11-17,402189
221,2014-11-18,456387
222,2014-11-19,458644
223,2014-11-02,435721
224,2014-11-20,458620
225,2014-11-21,495376
226,2014-11-22,516116
227,2014-11-23,425989
228,2014-11-24,398633
229,2014-11-25,409243
230,2014-11-26,425449
231,2014-11-27,296309
232,2014-11-28,347711
233,2014-11-29,395378
234,2014-11-03,412503
235,2014-11-30,370177
236,2014-11-04,424682
237,2014-11-05,449110
238,2014-11-06,470232
239,2014-11-07,486697
240,2014-11-08,515675
241,2014-11-09,445908
242,2014-12-01,399044
243,2014-12-10,447350
244,2014-12-11,469687
245,2014-12-12,497272
246,2014-12-13,501276
247,2014-12-14,441365
248,2014-12-15,410459
249,2014-12-16,439779
250,2014-12-17,456564
251,2014-12-18,482660
252,2014-12-19,509016
253,2014-12-02,440620
254,2014-12-20,494266
255,2014-12-21,419889
256,2014-12-22,382112
257,2014-12-23,384346
258,2014-12-24,348267
259,2014-12-25,210250
260,2014-12-26,278667
261,2014-12-27,323696
262,2014-12-28,323916
263,2014-12-29,339450
264,2014-12-03,438432
265,2014-12-30,377702
266,2014-12-31,405293
267,2014-12-04,458616
268,2014-12-05,496034
269,2014-12-06,508899
270,2014-12-07,460972
271,2014-12-08,431042
272,2014-12-09,437220
273,2014-07-01,445743
274,2014-07-10,456003
275,2014-07-11,458597
276,2014-07-12,447090
277,2014-07-13,410483
278,2014-07-14,416403
279,2014-07-15,436616
280,2014-07-16,449192
281,2014-07-17,457123
282,2014-07-18,460247
283,2014-07-19,445222
284,2014-07-02,439423
285,2014-07-20,398703
286,2014-07-21,399110
287,2014-07-22,447126
288,2014-07-23,466725
289,2014-07-24,461698
290,2014-07-25,461493
291,2014-07-26,448388
292,2014-07-27,403948
293,2014-07-28,368733
294,2014-07-29,422448
295,2014-07-03,417460
296,2014-07-30,441490
297,2014-07-31,453515
298,2014-07-04,309652
299,2014-07-05,308304
300,2014-07-06,313544
301,2014-07-07,378451
302,2014-07-08,434856
303,2014-07-09,448579
304,2014-08-01,453428
305,2014-08-10,372124
306,2014-08-11,377494
307,2014-08-12,413297
308,2014-08-13,434391
309,2014-08-14,439289
310,2014-08-15,444148
311,2014-08-16,419353
312,2014-08-17,380140
313,2014-08-18,376662
314,2014-08-19,405997
315,2014-08-02,440096
316,2014-08-20,422389
317,2014-08-21,441620
318,2014-08-22,419858
319,2014-08-23,402490
320,2014-08-24,364236
321,2014-08-25,357998
322,2014-08-26,389266
323,2014-08-27,415610
324,2014-08-28,414649
325,2014-08-29,410496
326,2014-08-03,397765
327,2014-08-30,376328
328,2014-08-31,352389
329,2014-08-04,392871
330,2014-08-05,422243
331,2014-08-06,439508
332,2014-08-07,446629
333,2014-08-08,445799
334,2014-08-09,420314
335,2014-09-01,319157
336,2014-09-10,466592
337,2014-09-11,478607
338,2014-09-12,486929
339,2014-09-13,513501
340,2014-09-14,450849
341,2014-09-15,421980
342,2014-09-16,447618
343,2014-09-17,451216
344,2014-09-18,464358
345,2014-09-19,488834
346,2014-09-02,408333
347,2014-09-20,492576
348,2014-09-21,402953
349,2014-09-22,393656
350,2014-09-23,401123
351,2014-09-24,416770
352,2014-09-25,426440
353,2014-09-26,448361
354,2014-09-27,486921
355,2014-09-28,433820
356,2014-09-29,400318
357,2014-09-03,441040
358,2014-09-30,435417
359,2014-09-04,469500
360,2014-09-05,496714
361,2014-09-06,503100
362,2014-09-07,445959
363,2014-09-08,430611
364,2014-09-09,450763
